plot,Tree_Num,Loc_X,Loc_Y,spp,ht,DBH1989,Cnpy1989,DBH1998,Cnpy1998,DBH2002,Cnpy2002,DBH2010,Cnpy2010,Notes
1,1507,11.1,19.7,ABBA,-99,0,0,0,0,0,0,4.2,5,New Tree 
1,1508,10.2,23,ABBA,-99,0,0,0,0,0,0,4.1,5,New Tree 
1,1509,13.1,21,ABBA,-99,0,0,0,0,0,0,4,5,New Tree 
2,9030,28.1,2.4,PCRU,15,16.7,3,17.3,3,17.7,7,17.45,7,Standing
2,9031,28.3,2.9,TSCA,15,20.8,6,21.6,6,22,3,23.6,3,
2,9032,27.8,3.3,PCRU,4,4.5,5,5.3,5,4.9,5,5.1,5,
2,9033,28.6,4.4,TSCA,5,7.7,5,9.1,5,9.4,5,10.1,4,
2,9034,28,4.3,PCRU,14,19,3,20.7,3,21.3,3,23.65,2,
2,9035,26.3,8.7,TSCA,12,18.6,3,20.7,3,21.3,3,23.05,2,
2,9036,26.1,9,TSCA,12,18.2,6,17.5,6,16.9,6,16.95,7,Standing
2,9037,29.6,9,TSCA,9,14.5,6,14.7,6,14.9,6,14.7,6,
2,9038,28.1,15.8,ABBA,4,3.6,5,6.5,5,7.3,5,8.6,4,
2,9039,26.6,20.8,TSCA,0,10.7,7,10.7,7,10.7,7,10.7,7,Down
2,9040,26.2,21.1,TSCA,9,10,4,11.1,4,11.6,4,12.5,4,
2,9041,27,22.4,TSCA,11,7.9,6,8,6,8.2,6,8,6,
2,9042,26.7,22.5,TSCA,11,9.9,6,9.9,6,10,6,9.9,7,Standing
2,9043,28.8,20.7,PCRU,14,21.8,2,23.5,2,24.1,5,25.45,2,
2,9044,29.2,20.1,TSCA,6,8.5,5,9.5,5,9.2,5,10.25,4,
2,9045,28.1,24.1,TSCA,8,7.9,6,8.2,6,8.5,6,8.45,4,
2,9046,28.4,24.8,TSCA,11,13,4,14.1,4,14.6,4,15.15,3,
2,9047,26.5,24.8,TSCA,12,9.8,6,10.1,6,10.3,6,10.6,4,
2,9048,25.1,23.5,TSCA,12,13.8,4,15.1,4,15.5,4,15.9,3,
2,9049,32.2,4.1,PCRU,16,21.1,2,22.6,2,23,2,25.15,2,
2,9050,31.8,9.3,TSCA,11,13.1,7,13.1,7,13.4,7,13.5,6,Alive
2,9051,32.7,8.4,PCRU,5,7,5,7.2,5,7.1,5,7.1,6,
2,9052,33.3,8.6,TSCA,14,21.6,2,23.1,2,23.5,2,24.9,3,
2,9053,33.4,9.7,TSCA,6,16.6,6,17.3,6,17.6,6,19.15,3,
2,9054,32.2,9.7,THOC,10,13.5,6,13.5,6,13.4,6,11.9,7,Down
2,9055,33.2,11.3,TSCA,15,28,2,29.8,2,30.2,2,31.9,2,
2,9056,33,11.6,TSCA,16,18.5,4,19.1,4,19.6,4,20.4,4,
2,9057,33.6,11.5,TSCA,0,5.5,6,5.5,6,5.5,7,5.5,7,Down
2,9058,34.4,11.6,THOC,15,26.2,3,27.6,3,27.6,3,28.95,6,
2,9059,33.9,12.5,TSCA,4,5.5,5,5.9,5,6,5,5.45,6,
2,9060,33.6,12.7,TSCA,5,7.5,5,7.8,5,7.7,5,7.95,5,
2,9061,33.5,13,TSCA,10,10.3,6,10.8,6,10.8,6,10.95,4,
2,9062,33.6,13.3,PCRU,16,23.5,2,25.4,2,26.2,2,27.9,2,
2,9063,33.1,14.6,PCRU,11,15.8,3,16,3,15.9,3,15.8,2,
2,9064,32.6,14.9,ACRU,13,21.8,3,24,3,24,3,26.25,2,
2,9065,32.3,14.9,TSCA,6,7.5,5,8.5,5,8.6,5,9.6,6,
2,9066,31,16,THOC,0,17.7,7,17.7,7,17.7,7,17.7,7,Down
2,9067,33.4,16.1,TSCA,11,16,4,17.2,4,17.3,4,18.65,3,
2,9068,32.7,16.6,PCRU,13,16.5,6,17.1,6,16.9,6,17.3,6,
2,9069,31.6,18.2,TSCA,6,7,6,8,6,8.2,6,9.15,4,
2,9070,31,18.1,ACRU,5,3.8,5,5.2,5,5.8,5,7.15,4,
2,9071,31.3,18.3,ACRU,14,23.1,2,24.1,2,24.4,2,24.75,2,
2,9072,33.1,18.2,TSCA,10,13.3,4,14.9,4,15.4,4,17.7,3,
2,9073,31.9,19.2,TSCA,8,13.6,4,14.7,4,15.1,4,15.9,3,
2,9074,30.8,20.5,TSCA,9,13.3,4,15,4,15.7,4,17.6,3,
2,9075,30.3,22.3,TSCA,5,9.5,6,10,6,10.2,6,10.3,6,
2,9076,36.6,2.1,TSCA,10,21.3,3,23.2,3,24.1,3,26.65,3,
2,9077,37.4,2.1,ACRU,15,23.1,2,25.1,2,26.4,2,27.6,2,Tagged #9078
2,9078,39.9,4.2,THOC,4,21.4,7,21.4,7,-99,-99,21.4,7,Down
2,9079,37.9,8.7,THOC,4,9.2,7,9.2,7,9.2,7,9.2,7,"Tagged #9077, Standing"
2,9080,35.3,9,TSCA,14,19.9,2,20,2,22.1,2,24.35,2,
2,9081,35.8,12.8,ACRU,12,17.3,4,17.6,4,17.6,4,18.85,3,
2,9082,36.3,15.7,TSCA,7,9,6,9.7,6,9.8,6,10.1,4,
2,9083,35.4,16.6,TSCA,7,8.8,6,9.2,6,9.6,6,9.9,4,
2,9084,37.6,19.1,PCRU,5,8.5,7,8.5,7,8.5,7,8.5,7,Down
2,9085,36.9,18,TSCA,10,13,6,13.7,6,13.9,6,13.6,7,"Y coordinate edited, Standing"
2,9086,35.8,18.1,TSCA,8,10.2,4,11.5,4,11.9,4,12.8,3,Y coordinate edited
2,9087,38.9,19.5,ACRU,8,11.4,4,12.5,4,12.8,4,13.45,3,Y coordinate edited
2,9089,42.3,2.1,ACRU,4,4.9,5,6.1,5,6.7,5,7.55,4,
2,9090,40.6,2.4,TSCA,8,18.6,3,21.1,3,22.5,3,25.3,3,
2,9091,42.3,9.5,TSCA,12,24.5,2,27.6,2,28.7,2,32.55,2,
2,9092,44.5,10.6,ACRU,10,11.8,3,12.2,3,12.6,3,12.85,3,
2,9093,44.6,10.7,TSCA,6,11.7,6,12,6,11.8,6,11.95,4,
2,9094,44.3,11.4,PCRU,10,20,3,22.9,3,22.9,3,25,3,
