block,meas3yr,treeid,xsite,ysite,species,dbh69,can69,cond69,dbh75,can75,cond75,dbh91,can91,cond91,dbh01,can01,cond01,1969Orient,dbh11,can11,cond11,length11,angle11,decay,comments,soilmoist,hurrdam,10medge
SE51,1991,1031,21.5,-576.5,QURU,11.18,S,L,12.45,S,L,10.16,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAP AT BASE; 308DEG.; 18FT.; D2; 2001: MAY SEE PART OF BOLE; D3,moist,Moderate,0
SE51,1991,1032,30,-525,CADE,25.4,NA,WC,NA,NA,WC,NA,NA,WC,NA,NA,WC,W,NA,NA,WC,NA,NA,D3,1969: WINDTHROWN: LOCATED AT CENTER OF MOUND; BB GROWING ON OR NEAR MOUND  1991: D3; 2001: D3; 2011: MOUND BURIED,dry,Moderate,0
SE51,1991,1033,28.5,-535,QURU,25.15,CD,L,26.92,CD,L,30.99,CD,L,33.9,CD,L,NA,36.2,CD,L,NA,NA,NA,1991: LIGHT SKELETONIZING,dry,Moderate,0
SE51,1991,1034,29,-539,ACRU,7.37,S,D,NA,NA,D,10.16,S,L,11.8,S,L,NA,13.2,S,L,NA,NA,NA,1991: NOT DEAD,dry,Moderate,0
SE51,1991,1035,27,-559.5,ACRU,4.83,S,L,5.08,S,L,5.08,NA,D,5,NA,SN,NA,NA,NA,SN,3.3,72,D2,2001: 17.5'; 104 DEG; D1; MISSING BARK,moist,Moderate,0
SE51,1991,1036,28.5,-576.5,QURU,9.65,S,L,9.91,S,L,10.16,NA,RB,7,NA,RB,NA,NA,NA,G,NA,NA,NA,1991: NO BARK; D1; 241DEG.; 34.7FT.; 2001: 18'; 220 DEG; D2,moist,Moderate,0
SE51,1991,1037,25.5,-582.5,ACRU,7.87,S,L,8.13,S,L,7.62,NA,SN,NA,NA,SN,NA,NA,NA,SN,NA,NA,D3,1991: SNAP AT BASE; D1-2; MISSING BARK; 260DEG.; 27.6FT.; 2001: D2 STUMP ONLY; 2011:STUMP NEARLY GONE,moist,Moderate,0
SE51,1991,1038,28,-596.5,HAVI,4.57,S,L,5.33,S,L,6.35,S,L,7.7,S,L,NA,8.4,S,L,NA,NA,NA,1991: SHARES BASE WITH 55;193 & 54;192; 2011: LEANING; SCAR,moist,Moderate,0
SE51,1991,1039,33,-512.5,ACRU,8.89,S,L,8.89,S,L,9.14,S,L,9,NA,D,NA,8.3,NA,D,NA,NA,D2,2001: SOME TRUNK SPROUTS BELOW DBH; D1; 2011: SNAP AT 3M,dry,Moderate,0
SE51,1991,1040,34,-516.5,ACRU,14.48,S,L,16,S,L,20.32,I,L,21.8,CD,L,NA,22.7,I,L,NA,NA,NA,NA,dry,Moderate,0
SE51,1991,1041,31,-524.5,BELE,4.57,S,L,NA,NA,NA,5.08,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1969: GROWING ON OR NEAR CH MOUND; 1975: MISSED; 1991:SNAP AT BASE;119DEG;6.8FT,dry,Moderate,0
SE51,1991,1042,31,-529,ACRU,6.86,S,L,7.37,S,L,8.38,S,L,8.5,S,L,NA,8.7,NA,D,NA,NA,D1,2011: BASAL SPROUTS,dry,Moderate,0
SE51,1991,1043,33,-532,PIST,35.56,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,NA,ST,NA,NA,D3,1991: D2-3; BB GROWING ON OR NEAR MOUND; 2001: D3,dry,Moderate,0
SE51,1991,1044,32.5,-534,PIST,35.56,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,NA,ST,NA,NA,D3,1991: D3; BB GROWING ON OR NEAR MOUND; 2001: D3,dry,Moderate,0
SE51,1991,1045,33,-536.5,QURU,14.99,S,L,16.76,S,L,15.75,NA,D,14,NA,RB,NA,9.5,NA,RB,12.5,141,D3,2001: BOLE CAUGHT ON STONE WALL; D2; 141 DEG,dry,Moderate,0
SE51,1991,1046,34,-546.5,ACRU,5.33,S,L,5.59,S,L,6.6,S,L,7.3,S,L,NA,7.9,S,L,NA,NA,NA,1991: WOUND 2FT. UP FROM BASE; 2001: TOP DEAD; 2011: BENT,dry,Moderate,0
SE51,1991,1047,34,-549,QURU,7.37,S,D,NA,NA,D,NA,NA,ST,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: D3; NO BOLE ASSOCIATED,dry,Moderate,0
SE51,1991,1048,32.5,-553,PIST,40.64,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,NA,ST,NA,NA,D3,1991: D2-3; 2001: D3,dry,Moderate,0
SE51,1991,1049,35,-564.5,QURU,33.02,CD,L,35.56,CD,L,41.15,CD,L,44.9,CD,L,NA,49.2,CD,L,NA,NA,NA,1991: SKELETONIZING,moist,Moderate,0
SE51,1991,1050,34,-574,BELE,6.1,S,L,7.11,S,L,11.68,S,L,14.1,I,L,NA,17.1,I,L,NA,NA,NA,NA,moist,Moderate,0
SE51,1991,1051,33,-575.5,PIST,50.8,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: D3,moist,Moderate,0
SE51,1991,1052,35,-590.5,QURU,46.48,D,L,49.02,D,L,53.85,D,L,57,D,L,NA,60.7,D,L,NA,NA,NA,1991: SOME SKELETONIZING; 2011: ROPE TIED TO BRANCH,moist,Moderate,0
SE51,1991,1053,32.5,-596,ACRU,9.14,S,L,9.14,S,L,10.16,NA,SN,9,NA,SN,NA,NA,NA,G,NA,NA,NA,1975: SHARES BASE WITH 66;192; 1991: 66;192 GONE; SNAP AT BASE; NO BARK; D1; 260DEG;27.3FT; 2001: 240 DEG; D2; 11.4',moist,Moderate,0
SE51,1991,1054,33,-596,ACRU,6.86,S,D,NA,NA,D,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1969: STUB; 1975: SHARES BASE WITH 65;192,moist,Moderate,0
SE51,1991,1055,36.5,-522.5,QURU,17.78,CD,L,19.05,CD,L,22.61,CD,L,24.5,CD,L,NA,26.8,CD,L,NA,NA,NA,1991: SKELETONIZING; 2011: TRUNK SPROUTS,dry,Moderate,0
SE51,1991,1056,40,-536.5,ACRU,4.57,S,L,5.33,S,L,7.62,S,L,9.4,S,L,NA,10.4,S,L,NA,NA,NA,1991: SLIGHTLY MORIBUND; 2001: MANY DEAD BRANCHES,dry,Moderate,0
SE51,1991,1057,38.5,-573.5,ACRU,21.34,I,L,21.34,I,L,NA,NA,SN,NA,NA,SN,NA,NA,NA,SN,NA,NA,D3,1991: SNAPPED AT 6FT.; BOLE NOT INTACT; D2-3; 18DEG.; 8.6FT.; 2001: D3 STUMP ONLY,moist,Moderate,0
SE51,1991,1058,36,-581.5,ACRU,20.32,NA,ST,NA,NA,ST,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,moist,Moderate,0
SE51,1991,1059,36,-596.5,ACRU,11.68,S,L,11.68,S,L,11.68,S,L,12,NA,SN,NA,NA,NA,G,NA,NA,NA,2001: SNAPPED AT ~3M,moist,Moderate,0
SE51,1991,1060,41,-508,QURU,14.48,S,L,NA,NA,D,12.7,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: SNAP AT BASE; MISSING BARK & WOOD AT DBH; D2; 161DEG.; 44FT.,dry,Moderate,0
SE51,1991,1061,40.5,-547.5,ACRU,13.21,I,L,13.72,I,L,16,I,L,17.6,I,L,NA,18.6,S,L,NA,NA,NA,2011: TOP SNAPPED,dry,Moderate,0
SE51,1991,1062,41,-559.5,QURU,24.64,CD,L,25.15,CD,L,26.42,CD,L,27.3,CD,L,NA,27.6,NA,D,NA,NA,D1,1991: SOME SKELETONIZING,moist,Moderate,0
SE51,1991,1063,41,-581.5,ACRU,30.48,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: D3,moist,Moderate,0
SE51,1991,1064,46,-505,BELE,17.53,S,L,20.32,S,L,23.37,I,L,25.4,I,L,NA,26.4,I,L,NA,NA,NA,NA,dry,Moderate,0
SE51,1991,1065,46.5,-512,BEAL,6.86,S,L,7.87,S,L,8.38,S,L,9,NA,D,NA,NA,NA,SN,NA,NA,D2,1991: TOP THIRD DEAD; 2001: SNAPPED AT ~12'; D1; 2011: SNAP AT BH; BASAL SPROUTS,dry,Moderate,0
SE51,1991,1066,46,-531,QURU,6.86,S,D,NA,NA,D,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,dry,Moderate,0
