Site,Tree Number,core orientation,species,DBH,Distance,Azimuth,Canopy,Status
HOW2,63,,PCRU,18.5,10.6,224,S,Li
HOW2,64,,TSCA,23.2,11.3,224,I,Li
HOW2,65,,TSCA,20.2,12.7,240,C,Li
HOW2,66,,PCRU,30.2,14.4,250,D,Li
HOW2,67,,PCRU,23.4,15.9,238,S,Sn
HOW2,68,,PCRU,27.3,17.3,235,D,Li
HOW2,69,,PCRU,49.4,19.1,268,D,Li
HOW2,70,,PCRU,31.4,15.8,263,C,Li
HOW2,71,,THOC,32,8.5,189,C,Li
HOW2,72,,TSCA,27.1,10.3,190,C,Li
HOW2,73,,PCRU,26.4,11.6,200,D,Li
HOW2,74,,TSCA,22.2,13.5,200,I,Li
HOW2,75,,ACRU,35.3,13.1,215,C,Li
HOW2,76,,PCRU,38.3,13.8,213,C,Li
HOW2,77,,TSCA,20.1,15.5,205,C,Li
HOW2,78,,THOC,28.4,16.8,180,C,Li
HOW2,79,,BEAL,23.5,19.1,210,C,Li
HOW2,80,,PCRU,12.9,3,110,C,Li
HOW2,81,,TSCA,11.9,2.1,101,S,Li
HOW2,82,,PCRU,12.6,2.9,153,C,Li
HOW2,83,,ACRU,25.2,4.8,160,C,Li
HOW2,84,,THOC,22.8,7.1,178,C,Li
HOW2,85,,TSCA,15.7,5.1,150,I,Li
HOW2,86,,PCRU,23.3,7.4,157,C,Li
HOW2,87,,THOC,21.8,9.3,164,C,Li
HOW2,88,,PCRU,45.2,14.2,176,D,Li
HOW2,89,,TSCA,23.9,14.8,178,C,Li
HOW2,90,,PCRU,36.8,15.4,146,D,Li
HOW2,91,,PCRU,29.2,14.3,137,C,Sn
HOW2,92,,TSCA,25.7,12.2,139,C,Li
HOW2,93,,PCRU,25.1,9.6,140,C,Li
HOW2,94,,PCRU,36,6.9,115,C,Li
HOW2,95,,TSCA,26,9.7,104,C,Li
HOW2,96,,THOC,23.1,11.8,91,S,Sn
HOW2,97,,TSCA,22.8,11.7,117,C,Li
HOW2,98,,PCRU,27.5,11.3,120,C,Li
HOW2,99,,TSCA,28.5,11.5,122,C,Li
HOW2,100,,TSCA,26.4,15.7,92,I,Li
HOW2,101,,THOC,25,17.5,96,I,Li
HOW2,102,,PCRU,41.2,18.9,119,C,Li
HOW2,103,,TSCA,25.4,16.7,123,S,Sn
HOW2,104,,PCRU,28.9,16.9,114,D,Li
HOW2,105,,PCRU,33.8,19.9,154,C,Li
HOW2,106,,PIST,74.4,19.8,158,D,Li
HOW2,126,,THOC,13.2,2.4,51,,Log
HOW2,127,,THOC,12.3,6.9,60,,Log
HOW3,1,,TSCA,26.6,4.8,146,C,Li
HOW3,2,,PCRU,18.2,5.5,149,C,Li
HOW3,3,,TSCA,19.1,6.3,158,I,Li
HOW3,4,,TSCA,32.1,7.2,175,C,Li
HOW3,5,,TSCA,48.4,9.1,160,D,Li
HOW3,6,,TSCA,20.5,12.5,176,,Sn
HOW3,7,,TSCA,39.8,6.2,117,C,Li
HOW3,8,,TSCA,29.3,6.3,115,C,Li
HOW3,9,,TSCA,34.1,9.2,103,C,Li
HOW3,10,,TSCA,33.2,10.7,116,D,Li
HOW3,11,,TSCA,13.7,10.4,103,S,Li
HOW3,12,,TSCA,23.5,13.3,110,C,Li
HOW3,13,,TSCA,30.3,13.9,118,C,Li
HOW3,14,,TSCA,64.4,14.7,128,D,Li
HOW3,15,,PCRU,24.2,16.8,152,C,Li
HOW3,16,,PCRU,34.7,14.5,97,C,Li
HOW3,17,,BEAL,21,16.5,105,C,Li
HOW3,18,,PCRU,21,18.9,110,C,Li
HOW3,19,,TSCA,24.7,3.8,17,I,Li
HOW3,20,,TSCA,27.9,4.5,14,C,Li
HOW3,21,,TSCA,26.2,5.2,40,I,Li
HOW3,22,,TSCA,31.4,6,82,C,Li
HOW3,23,,ACRU,29.3,7.4,47,C,Li
HOW3,24,,ACRU,43.4,11.2,60,D,Li
HOW3,25,,TSCA,16.7,11.7,70,S,Li
HOW3,26,,TSCA,35.2,11.2,75,C,Li
HOW3,27,,TSCA,26.6,12.7,73,C,Li
HOW3,28,,PCRU,26.6,13.9,60,D,Li
HOW3,29,,TSCA,45.6,17.9,56,D,Li
HOW3,30,,PCRU,30.6,16,88,C,Li
HOW3,31,,PCRU,31.5,18.2,90,C,Li
HOW3,32,,ACRU,23.9,14.8,45,I,Li
HOW3,33,,ACRU,37,19.9,40,D,Li
HOW3,34,,TSCA,39,19.9,38,C,Li
HOW3,35,,TSCA,10.3,11.1,39,S,Li
HOW3,36,,TSCA,14,12.1,33,I,Li
HOW3,37,,TSCA,41.3,7.1,15,C,Li
HOW3,38,,TSCA,37,8,16,C,Li
HOW3,39,,PCRU,26.4,14.9,8,C,Li
HOW3,40,,PCRU,32.6,14.9,10,C,Li
HOW3,41,,PCRU,23.7,16.9,28,C,Li
HOW3,42,,TSCA,34.8,19.7,32,C,Li
HOW3,43,,TSCA,36.8,3,300,C,Li
HOW3,44,,TSCA,33.1,3.2,297,C,Li
HOW3,45,,TSCA,11.6,3.4,275,S,Li
HOW3,46,,TSCA,37.5,6.4,295,C,Li
HOW3,47,,TSCA,43,7.9,292,C,Li
HOW3,48,,TSCA,21,8.2,320,I,Li
HOW3,49,,TSCA,17.2,9,340,S,Li
HOW3,50,,PCRU,37.6,9.7,339,D,Li
HOW3,51,,ACRU,14,9.3,305,I,Li
