plot,tree no.,species,DBH1979,Cnpy1979,rem1979,DBH1983,Cnpy1983,rem1983,DBH1989,Cnpy1989,rem1989,DBH1994,Cnpy1994,rem1994,DBH1999,Cnpy1999,rem1999,DBH2009,Cnpy2009,rem2009
A0,43,40,6.3,4,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,44,40,15.6,3,0,15.9,3,0,0,0,9,0,0,0,0,0,0,0,0,0
A0,45,76,4,4,8,4.2,4,8,4.4,4,1,4.5,4,1,4.8,4,12,5.2,4,1
A0,46,40,12.6,4,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,47,76,3.8,4,8,3.9,4,8,4,4,38,0,0,9,0,0,0,0,0,0
A0,48,76,5.4,4,2,5.7,4,8,5.9,4,0,0,0,9,0,0,0,0,0,0
A0,49,91,16.5,2,0,17.3,2,0,18.1,2,0,0,0,9,0,0,0,0,0,0
A0,50,79,5.4,4,8,5.6,4,8,5.9,4,0,0,0,9,0,0,0,0,0,0
A0,51,56,11.3,4,0,11.4,4,21,0,0,9,0,0,0,0,0,0,0,0,0
A0,681,78,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,4.3,3,0
A0,682,78,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4,1,1.8,4,3
A0,761,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,3,1
A0,762,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,3,0
A0,763,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,3,0
A0,764,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,0
A0,765,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3,0
A0,766,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,3
A0,767,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4,3
A0,768,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,0
A0,52,76,6.9,4,0,7.2,4,8,7.6,4,0,8,4,0,8.9,4,0,10.3,3,0
A0,53,76,3.5,4,8,3.6,4,8,3.7,4,1,3.8,4,1,4,4,1,4,4,1
A0,683,78,0,0,0,0,0,0,0,0,0,0,0,0,1.6,4,0,2.4,4,0
A0,54,76,3.7,4,8,3.9,4,8,3.9,4,8,4,4,8,4.2,4,8,5.1,4,0
A0,55,76,2.2,4,8,2.4,4,8,2.4,4,8,0,0,9,0,0,0,0,0,0
A0,56,40,14.3,3,0,14.7,3,0,15,3,0,15.5,2,0,16.4,2,0,19.5,2,0
A0,57,76,1.9,4,83,1.9,4,38,1.9,4,318,0,0,9,0,0,0,0,0,0
A0,58,76,3.7,4,8,4.2,4,8,4.6,4,0,0,0,9,0,0,0,0,0,0
